abbreviation,replacement
isis.,isise
isk.,iskandar
isl.,islamic
isla.,islamic
islam.,islamic
island.,islands
islande.,islander
ism.,ismail
ismai.,ismail
iso.,isotope
isol.,isola
isolat.,isolation
isot.,isotope
isotop.,isotope
isotope.,isotopes
isotopenforsch.,isotopenforschung
isp.,ispra
ispa.,isparta
ispez.,ispezione
isr.,israel
israel-d.,israel-deaconess
israel.,israelita
israelit.,israelita
iss.,issues
issue.,issues
ist.,istituto
istan.,istanbul
isti.,istituto
istit.,istituto
istitut.,istituto
istituz.,istituzioni
isto.,istologia
istol.,istologia
istolo.,istologia
isu.,isuzu
ita.,italy
ital.,italy
italia.,italian
italian.,italiano
itam.,itami
ith.,ithaca
itm.,itmo
ito.,itodys
iuc.,iucn
iuca.,iucaa
iul.,iuliu
ius.,iusti
iust.,iusti
iva.,ivan
ivan.,ivanovo
ivano-f.,ivano-frankivsk
ivano-frank.,ivano-frankivsk
ivanov.,ivanovo
ivi.,ivic
iwami.,iwamizawa
iza.,izaak
izmir.,izmiran
izt.,iztapalapa
j-p.,j-parc
jab.,jaboticabal
jac.,jackson
jackson.,jacksonville
jacob.,jacobs
jad.,jadavpur
jag.,jagiellonian
jagell.,jagellonian
jagellon.,jagellonian
jagiel.,jagiellonian
jagiell.,jagiellonian
jagiellon.,jagiellonian
jagielloński.,jagiellońskiego
jak.,jakarta
jal.,jalan
jala.,jalan
jalan.,jalandhar
jam.,james
jan.,janeiro
jane.,janeiro
jap.,japan
japan.,japanese
jar.,jardim
jard.,jardim
jas.,jaslok
jav.,javeriana
java.,javakhishvili
jawah.,jawaharlal
jaya.,jayachamarajendra
jean-m.,jean-minjoz
jean-p.,jean-pierre
jean.,jeanne
jeanne-de-f.,jeanne-de-flandre
jef.,jefferson
jeff.,jefferson
jemb.,jember
jen-t.,jen-teh
jen.,jena
jend.,jenderal
jeo.,jeonju
jeol.,jeoloji
jersey-n.,jersey-new
jersey-r.,jersey-robert
jerus.,jerusalem
jew.,jewish
jian.,jiangsu
jiang.,jiangsu
jiao.,jiaotong
jim.,jimei
jin.,jinan
jinchen.,jincheng
jnt.,jntu
jntu.,jntuh
joan.,joanneum
job.,jobs
jock.,jockey
joh.,johns
johann-wolfgang-g.,johann-wolfgang-goethe
johannes-g.,johannes-gutenberg
johannes-gutenberg-u.,johannes-gutenberg-university
johannes-gutenberg-univ.,johannes-gutenberg-university
johannes.,johannesburg
john.,johns
joi.,joint
join.,joint
joint.,jointly
joliot-c.,joliot-curie
jordan.,jordanstown
jorn.,jornada
jos.,joseph
jose.,joseph
josef-h.,josef-hospital
josef-hosp.,josef-hospital
josep.,joseph
joseph-f.,joseph-fourier
joseph.,josephine
jour.,journalism
journ.,journalism
journal.,journalism
jouy-en-j.,jouy-en-josas
jsp.,jsps
jua.,juan
jud.,jude
judic.,judicial
jugen.,jugendmedizin
jugend.,jugendmedizin
jugendheilk.,jugendheilkunde
jugendklin.,jugendklinik
jugendl.,jugendliche
jugendmed.,jugendmedizin
jugendpsych.,jugendpsychiatrie
jugendpsychiat.,jugendpsychiatrie
jugendpsychiatr.,jugendpsychiatrie
jul.,jules
julia.,juliane
julius-m.,julius-maximilians
julius-maximilians-u.,julius-maximilians-university
julius-maximilians-univ.,julius-maximilians-university
julius-maximilians-univer.,julius-maximilians-university
jun.,juntendo
juni.,junior
jur.,juraj
jura.,juraj
jurisprud.,jurisprudence
jurídica.,jurídicas
juss.,jussieu
just.,justice
justus-l.,justus-liebig
justus-liebig-u.,justus-liebig-university
justus-liebig-univ.,justus-liebig-university
justus-liebig-unive.,justus-liebig-university
juv.,juvenile
juven.,juvenile
juvenil.,juvenile
kab.,kabir
kabardino-balkar.,kabardino-balkarian
kabi.,kabir
kac.,kacst
kad.,kadin
kaf.,kafedra
kai.,kaiser
kailua.,kailuan
kais.,kaiser
kaiser-p.,kaiser-permanente
kaiser-perm.,kaiser-permanente
kaiser-wilhelm-inst.,kaiser-wilhelm-institut
kaiser.,kaiserslautern
kaiseri.,kaiserin
kaiserl.,kaiserlichen
kale.,kaleida
kalin.,kalinga
kam.,kampus
kamer.,kamerlingh
kamp.,kampus
kan.,kansas
kand.,kandang
kano.,kanoya
kans.,kansas
kant.,kantonsspital
kanton.,kantonsspital
kantona.,kantonales
kantonal.,kantonales
kantonspit.,kantonspital
kantonssp.,kantonsspital
kantonsspi.,kantonsspital
kantonsspit.,kantonsspital
kantonsspital.,kantonsspitals
kao.,kaohsiung
kap.,kapodistrian
kapod.,kapodistrian
kapodistr.,kapodistrian
kapt.,kapteyn
kar.,karolinska
kara.,karadeniz
karad.,karadeniz
karagand.,karaganda
kard.,kardiologie
kardio.,kardiologie
kardiocen.,kardiocentrum
kardiochi.,kardiochirurgii
kardiochir.,kardiochirurgii
kardiochiru.,kardiochirurgii
kardiochirur.,kardiochirurgii
kardiochirurg.,kardiochirurgii
kardiol.,kardiologie
kardiolog.,kardiologie
kardiológia.,kardiológiai
kardiyol.,kardiyoloji
karel.,karelian
karl-f.,karl-franzens
karl-franzens-u.,karl-franzens-university
karl-franzens-univ.,karl-franzens-university
karl-marx-s.,karl-marx-stadt
karl.,karlsruhe
karls.,karlsruhe
karlsru.,karlsruhe
karlsruhe.,karlsruher
karlst.,karlstad
karn.,karnataka
karol.,karolinska
karolin.,karolinska
karp.,karpov
kas.,kasetsart
kasuga.,kasugai
kat.,katedra
katal.,katalyse
katalyse.,katalyseforschung
katalyseforsch.,katalyseforschung
kate.,katedra
kated.,katedra
kath.,katholieke
katharinenhosp.,katharinenhospital
kathol.,katholieke
kati.,katip
katow.,katowice
katowic.,katowice
kaufm.,kaufman
kav.,kavli
kaw.,kawasaki
kawas.,kawasaki
kay.,kayseri
kaz.,kazan
kazak.,kazakh
kazakh.,kazakhstan
keb.,kebangsaan
kec.,keck
kej.,kejuruteraan
kekulé-inst.,kekulé-institut
kel.,kellogg
kem.,kemal
kemer.,kemerovo
kemerov.,kemerovo
kemi.,kemira
kempen.,kempenhaeghe
ken.,kentucky
kenan-f.,kenan-flagler
kent.,kentucky
kenya.,kenyatta
ker.,kernphysik
kera.,kerala
keram.,keramische
kerami.,keramische
kerckhoff-i.,kerckhoff-institut
kerckhoff-inst.,kerckhoff-institut
kerckhoff-klin.,kerckhoff-klinik
kerman.,kermanshah
kern.,kernphysik
kernchem.,kernchemie
kernf.,kernforschungsanlage
kernforsch.,kernforschungsanlage
kernforschung.,kernforschungsanlage
kernforschungsanl.,kernforschungsanlage
kernforschungszent.,kernforschungszentrum
kernfys.,kernfysisch
kernphys.,kernphysik
kew.,kewalo
key.,keynes
keys.,keystone
kfa.,kfar
kfu.,kfupm
khabar.,khabarovsk
khan.,khanum
khar'k.,khar'kov
khar'kov.,khar'kovskij
khar.,kharkov
khark.,kharkov
khim.,khimii
khimich.,khimicheskoj
khir.,khirurgii
khirurg.,khirurgii
khr.,khristianovich
kid.,kidney
kidn.,kidney
kiefer.,kieferheilkunde
kieferheilk.,kieferheilkunde
kieferklin.,kieferklinik
kieferkrank.,kieferkrankheiten
kieferkrankh.,kieferkrankheiten
kieferorthopäd.,kieferorthopädie
kiel.,kielce
kiela.,kielanowski
kielanow.,kielanowski
kiepenheuer-inst.,kiepenheuer-institut
kierow.,kierownik
kiev.,kievskij
kil.,kilimanjaro
kim.,kimmel
kin.,king
kind.,kinderklinik
kinder-u.,kinder-und
kinder.,kinderklinik
kinderch.,kinderchirurgie
kinderchi.,kinderchirurgie
kinderchir.,kinderchirurgie
kinderchirur.,kinderchirurgie
kinderchirurg.,kinderchirurgie
kindergeneesk.,kindergeneeskunde
kinderh.,kinderheilkunde
kinderheil.,kinderheilkunde
kinderheilk.,kinderheilkunde
kinderheilku.,kinderheilkunde
kinderheilkun.,kinderheilkunde
kinderkard.,kinderkardiologie
kinderkardiol.,kinderkardiologie
kinderkl.,kinderklinik
kinderklin.,kinderklinik
kinderkranken.,kinderkrankenhaus
kinderkrankenh.,kinderkrankenhaus
kinderpol.,kinderpoliklinik
kinderpolik.,kinderpoliklinik
kinderpoliklin.,kinderpoliklinik
kinders.,kinderspital
kindersp.,kinderspital
kinderspit.,kinderspital
kinderurol.,kinderurologie
kinderz.,kinderziekenhuis
kinderziek.,kinderziekenhuis
kinderzieken.,kinderziekenhuis
kinderziekenh.,kinderziekenhuis
kine.,kinesiology
kines.,kinesiology
kinesiol.,kinesiology
kinet.,kinetics
king.,kingston
kir.,kirikkale
kirchhoff-inst.,kirchhoff-institut
kirk.,kirksville
kirur.,kirurgisk
kirurg.,kirurgisk
kis.,kist
kish.,kishiwada
kit.,kitasato
klaipe.,klaipeda
klas.,klassische
klauen.,klauentiere
kle.,klein
kleber.,kleberg
klei.,klein
klein.,kleine
kli.,klinik
klim.,kliment
klima.,klimaforschung
klimaf.,klimaforschung
klimafor.,klimaforschung
klimaforsch.,klimaforschung
klin.,klinik
klini.,klinik
klinic.,kliniczny
klinich.,klinicheskoj
klinik.,klinikum
klinik/polik.,klinik/poliklinik
klinik/polikl.,klinik/poliklinik
klinik/poliklin.,klinik/poliklinik
klinika.,klinikai
klinikk.,klinikka
kliniku.,klinikum
klinikum.,klinikums
klinis.,klinische
klinische.,klinisches
knapp.,knappschaftskrankenhaus
knappsch.,knappschaftskrankenhaus
knappschaftskr.,knappschaftskrankenhaus
knappschaftskran.,knappschaftskrankenhaus
knappschaftskrank.,knappschaftskrankenhaus
knappschaftskranken.,knappschaftskrankenhaus
knappschaftskrankenh.,knappschaftskrankenhaus
knoll.,knolls
know.,knowledge
knowl.,knowledge
knowledge-b.,knowledge-based
knox.,knoxville
kob.,kobe
kobe.,kobenhavn
kobenh.,kobenhavn
kobenhavn.,kobenhavns
kobiec.,kobiecych
koch-inst.,koch-institut
koch-institut.,koch-institute
koch.,kochi
kofu.,kofukai
kogn.,kognitive
kohlenforsch.,kohlenforschung
kol.,koln
koll.,kolling
kollege.,kollegen
kom.,komagome
komb.,kombinat
komensk.,komenskeho
komm.,kommunehospital
kommiss.,kommission
kommun.,kommunehospital
kommune.,kommunehospital
kommunehosp.,kommunehospital
kommunehospital.,kommunehospitalet
kommunik.,kommunikation
kommunikat.,kommunikation
komp.,komplexer
kompet.,kompetenzzentrum
kompetenz.,kompetenzzentrum
kompetenzzen.,kompetenzzentrum
kompetenzzent.,kompetenzzentrum
kompl.,komplexer
komple.,komplexer
komplex.,komplexer
kon.,kong
kond.,kondensierten
konden.,kondensierten
kondens.,kondensierten
kone.,koneru
kong.,kongju
kongs.,kongsberg
konin.,koninklijke
konink.,koninklijke
koninkl.,koninklijke
koninklijke/shell-lab.,koninklijke/shell-laboratorium
konrad-zuse-zent.,konrad-zuse-zentrum
konrad-zuse-zentr.,konrad-zuse-zentrum
kons.,konstanz
konst.,konstanz
konstan.,konstanz
konstant.,konstantinov
konstr.,konstruktion
konstruk.,konstruktion
konstrukt.,konstruktion
konstruktionstech.,konstruktionstechnik
kop.,kopernika
kopern.,kopernika
kor.,korea
kora.,koranyi
kore.,korea
korea.,korean
korh.,korhaz
kork.,korkut
korl.,korle
kos.,kosice
kosa.,kosan
kose.,kosei
kost.,kostroma
kostrom.,kostroma
kotel.,kotelnikov
kou.,kousei
koz.,kozminski
kra.,krankenhaus
kraft.,kraftwerk
kraj.,krajska
krajsk.,krajska
krak.,krakow
krakow.,krakowie
krakowsk.,krakowska
kran.,krankenhaus
krank.,krankenhaus
kranke.,krankenhaus
kranken.,krankenhaus
krankenan.,krankenanstalten
krankenans.,krankenanstalten
krankenanst.,krankenanstalten
krankenanstalt.,krankenanstalten
krankenh.,krankenhaus
krankenha.,krankenhaus
krankenhaus.,krankenhauses
krankenhaushyg.,krankenhaushygiene
krankh.,krankheiten
krankheit.,krankheiten
krasn.,krasnoyarsk
krebs.,krebsforschungszentrum
krebsf.,krebsforschungszentrum
krebsfors.,krebsforschungszentrum
krebsforsch.,krebsforschungszentrum
krebsforschu.,krebsforschungszentrum
krebsforschun.,krebsforschungszentrum
krebsforschung.,krebsforschungszentrum
krebsforschungs.,krebsforschungszentrum
krebsforschungsz.,krebsforschungszentrum
krebsforschungszen.,krebsforschungszentrum
krebsforschungszent.,krebsforschungszentrum
krebsforschungszentr.,krebsforschungszentrum
kreis.,kreiskrankenhaus
kreiskr.,kreiskrankenhaus
kreiskrank.,kreiskrankenhaus
kreiskranken.,kreiskrankenhaus
kreiskrankenh.,kreiskrankenhaus
kreiskrankenhaus.,kreiskrankenhauses
kreisl.,kreislauferkrankungen
kreislauf.,kreislauferkrankungen
kreislauferkr.,kreislauferkrankungen
kreislauferkrank.,kreislauferkrankungen
kremlin-b.,kremlin-bicetre
kres.,kresge
kri.,krishi
kris.,krishi
krist.,kristallographie
kristal.,kristallographie
kristall.,kristallographie
kristallog.,kristallographie
kristallogr.,kristallographie
kristallogra.,kristallographie
kristallograph.,kristallographie
kszt.,ksztalcenia
ksztal.,ksztalcenia
ksztalc.,ksztalcenia
ksztalcen.,ksztalcenia
kth-roy.,kth-royal
kuba.,kuban
kuk.,kukuczka
kul.,kulliyyah
kull.,kulliyyah
kult.,kultur
kultur.,kulturpflanzenforschung
kulturp.,kulturpflanzenforschung
kulturpfl.,kulturpflanzenforschung
kulturpfla.,kulturpflanzenforschung
kulturpflan.,kulturpflanzenforschung
kulturpflanzenforsch.,kulturpflanzenforschung
kumar.,kumaraguru
kun.,kung
kung.,kungliga
kungl.,kungliga
kunststoff-i.,kunststoff-institut
kunststoff-inst.,kunststoff-institut
kunststofftech.,kunststofftechnik
kuo.,kuopio
kur.,kurume
kure.,kureha
kurs.,kursk
kurzzeit.,kurzzeitspektroskopie
kut.,kutateladze
kutat.,kutateladze
kutató.,kutatócsoport
kutz.,kutztown
kvi.,kvinnokliniken
kwan.,kwangwoon
kybern.,kybernetik
kybernet.,kybernetik
kyorit.,kyoritsu
kön.,königsberg
könig.,königsberg
königl.,königlichen
közp.,központ
københavn.,københavns
kühn-inst.,kühn-institut
l'a.,l'aquila
l'act.,l'action
l'adol.,l'adolescent
l'adoles.,l'adolescent
l'adolesc.,l'adolescent
l'afr.,l'afrique
l'agr.,l'agriculture
l'agri.,l'agriculture
l'agric.,l'agriculture
l'aliment.,l'alimentation
l'amb.,l'ambiente
l'ambien.,l'ambiente
l'anal.,l'analisi
l'app.,l'appareil
l'appar.,l'appareil
l'appr.,l'apprentissage
l'appren.,l'apprentissage
l'arc.,l'archet
l'arch.,l'archet
l'ass.,l'association
l'assoc.,l'association
l'associat.,l'association
l'autom.,l'automazione
l'automa.,l'automazione
l'automaz.,l'automazione
l'e.,l'environnement
l'eco.,l'ecole
l'ecol.,l'ecole
l'edu.,l'education
l'educ.,l'education
l'elev.,l'elevage
l'ene.,l'energie
l'ener.,l'energie
l'energ.,l'energie
l'enf.,l'enfant
l'ens.,l'enseignement
l'enseig.,l'enseignement
l'enseign.,l'enseignement
l'env.,l'environnement
l'envi.,l'environnement
l'envir.,l'environnement
l'environ.,l'environnement
l'environn.,l'environnement
l'environne.,l'environnement
l'environnem.,l'environnement
l'esp.,l'espai
l'evol.,l'evolution
l'ex.,l'exploitation
l'exer.,l'exercice
l'exerc.,l'exercice
l'exp.,l'exploitation
l'expl.,l'exploitation
l'exploit.,l'exploitation
l'h.,l'hospitalet
l'hop.,l'hopital
l'hopit.,l'hopital
l'hosp.,l'hospitalet
l'hôp.,l'hôpital
l'i.,l'institut
l'in.,l'institut
l'ind.,l'industrie
l'indus.,l'industrie
l'indust.,l'industrie
l'industr.,l'industrie
l'inf.,l'information
l'info.,l'information
l'infor.,l'information
l'inform.,l'information
l'ing.,l'ingegneria
l'innov.,l'innovation
l'ins.,l'institut
l'insec.,l'insecte
l'inst.,l'institut
l'o.,l'orme
l'obs.,l'observatoire
l'observ.,l'observatoire
l'u.,l'universite
l'uni.,l'universite
l'univ.,l'universite
l'unive.,l'universite
l'univer.,l'universite
l'univers.,l'universite
l'util.,l'utilisation
l'utilis.,l'utilisation
l'éduc.,l'éducation
l'éner.,l'énergie
laa.,laas
lab.,laboratory
labb.,labbafinejad
labe.,labex
labo.,laboratory
labor.,laboratory
labora.,laboratory
laborat.,laboratory
laboratoi.,laboratoire
laboratoire.,laboratoires
laborator.,laboratory
laboratoria.,laboratorial
laboratorie.,laboratories
laboratorio.,laboratorios
laboratorium.,laboratoriumsmedizin
laboratoriumsme.,laboratoriumsmedizin
laboratoriumsmed.,laboratoriumsmedizin
laboratory-u.,laboratory-usdoe
laboratory-us.,laboratory-usdoe
laboratory.,laboratoryjnej
laboratório.,laboratórios
labs-res.,labs-research
lac.,lackland
lact.,lactobacilos
lactat.,lactation
lad.,lady
lae.,laennec
laf.,lafayette
lag.,laguna
lago.,lagos
lagoa.,lagoas
lagoas-m.,lagoas-marcosende
lah.,lahore
lait.,laitos
lak.,lake
lake.,lakes
lakes.,lakeside
lal.,lally
lam.,lamar
lamar.,lamarque
lamb.,lambret
lame.,lamel
lamont-d.,lamont-doherty
lams.,lamsade
lan.,lanzhou
lanark.,lanarkshire
lanc.,lancaster
land.,landscape
lande.,landesamt
landes.,landesamt
landesan.,landesanstalt
landesans.,landesanstalt
landesanst.,landesanstalt
landeshaupt.,landeshauptstadt
landesins.,landesinstitut
landesinst.,landesinstitut
landesk.,landeskrankenhaus
landesklin.,landesklinikum
landeskr.,landeskrankenhaus
landeskran.,landeskrankenhaus
landeskrank.,landeskrankenhaus
landeskranken.,landeskrankenhaus
landeskrankenans.,landeskrankenanstalten
landeskrankenanst.,landeskrankenanstalten
landeskrankenanstalt.,landeskrankenanstalten
landeskrankenh.,landeskrankenhaus
landesmus.,landesmuseum
landesstern.,landessternwarte
landessternwar.,landessternwarte
lands.,landscape
landsc.,landscape
landscape.,landscapes
landst.,landsteiner
landw.,landwirtschaft
landwir.,landwirtschaft
landwirt.,landwirtschaft
landwirts.,landwirtschaft
landwirtsc.,landwirtschaft
landwirtsch.,landwirtschaft
landwirtschaf.,landwirtschaft
landwirtschaft.,landwirtschaftswissenschaften
landwirtschaftl.,landwirtschaftliche
landwirtschaftlich.,landwirtschaftliche
landwirtschafts.,landwirtschaftswissenschaften
landwirtschaftswiss.,landwirtschaftswissenschaften
landwirtschaftswissensch.,landwirtschaftswissenschaften
landwirtschaftswissenschaf.,landwirtschaftswissenschaften
lang.,language
langs.,langston
language.,languages
lans.,lansing
lao.,laos
lap.,lappeenranta
lapa.,laparoscopic
lapar.,laparoscopic
laparos.,laparoscopic
laparosc.,laparoscopic
laparoscop.,laparoscopic
lapp.,lappeenranta
lara.,laramie
larib.,lariboisiere
laryn.,laryngology
laryng.,laryngology
laryngol.,laryngology
las.,laser
lasa.,lasalle
lasar.,lasarett
lase.,laser
laser-lab.,laser-laboratorium
laser.,lasers
lasertech.,lasertechnik
lasertechn.,lasertechnik
lash.,lashkaryov
lasi.,lasige
lat.,latvia
latin.,latina
latino.,latinoamericana
latinoam.,latinoamericana
latinoamer.,latinoamericana
latr.,latrobe
latt.,lattice
latv.,latvia
latvia.,latvian
lau.,lausanne
laue-l.,laue-langevin
laue-p.,laue-paul
laur.,laurier
laurea.,laureate
laut.,lautenberg
lav.,laval
lava.,laval
lavoi.,lavoisier
lavois.,lavoisier
lavor.,lavoro
lavrent'e.,lavrent'ev
law.,lawrence
lawr.,lawrence
lawyer.,lawyers
lay.,layer
laye.,layer
laz.,lazio
lazar.,lazaro
lea.,learning
lead.,leadership
leader.,leadership
leaders.,leadership
leadersh.,leadership
leag.,league
learn.,learning
leave.,leavey
leb.,lebedev
lebano.,lebanon
lebens.,lebensmittelchemie
lebensm.,lebensmittelchemie
lebensmit.,lebensmittelchemie
lebensmitt.,lebensmittelchemie
lebensmittel.,lebensmittelchemie
lebensmittelch.,lebensmittelchemie
lebensmittelche.,lebensmittelchemie
lebensmittelchem.,lebensmittelchemie
lebensmittelsic.,lebensmittelsicherheit
lebensmitteltechnol.,lebensmitteltechnologie
lec.,lecce
lect.,lecturer
lectu.,lecturer
lectur.,lecturer
lecture.,lecturer
lecz.,leczenia
led.,lederle
lee.,leeds
leed.,leeds
leeuwenh.,leeuwenhoek
leg.,legal
legal.,legale
legis.,legislative
legisl.,legislative
legislat.,legislative
lego.,legos
leh.,lehrstuhl
lehr.,lehrstuhl
lehrber.,lehrbereich
lehrgeb.,lehrgebiet
lehrk.,lehrkrankenhaus
lehrkran.,lehrkrankenhaus
lehrkrank.,lehrkrankenhaus
lehrkranken.,lehrkrankenhaus
lehrkrankenh.,lehrkrankenhaus
lehrs.,lehrstuhl
lehrst.,lehrstuhl
lei.,leiden
leibniz-ins.,leibniz-institut
leibniz-inst.,leibniz-institut
leic.,leicester
leicest.,leicester
leicester.,leicestershire
leich.,leichtbau
leiden/a.,leiden/amsterdam
leigh.,leighton
leipz.,leipzig
leipzig-h.,leipzig-halle
leipzig.,leipziger
leis.,leisure
leishman.,leishmaniasis
leit.,leiter
leite.,leiter
lek.,lekarska
lekar.,lekarska
lekars.,lekarska
lekarsk.,lekarska
lekarski.,lekarskiej
lekarst.,lekarstvi
lekarstv.,lekarstvi
lel.,leloir
lem.,lemta
lema.,lemar
lemo.,lemoyne
len.,leningrad
leng.,lenguajes
lenguaje.,lenguajes
lenin.,leningrad
leningr.,leningrad
leningrad.,leningradskij
leningradsk.,leningradskij
leninsk.,leninsky
lens.,lensovet
leo.,leoben
leon.,leonard
leonard.,leonardo
leop.,leopoldo
leopold-f.,leopold-franzens
leopold-franzens-u.,leopold-franzens-university
leopold-franzens-uni.,leopold-franzens-university
leopold-franzens-univ.,leopold-franzens-university
lep.,leprosy
lepr.,leprosy
lepro.,leprosy
leprol.,leprology
ler.,lerner
lerma.,lermab
les.,leslie
lesh.,leshan
let.,letters
letr.,letras
lett.,letters
leuk.,leukemia
leukaem.,leukaemia
leukem.,leukemia
leuna-m.,leuna-merseburg
leur.,leurs
leuven-univ.,leuven-university
lev.,level
lever.,leverhulme
levin.,levine
lew.,lewis
lgp.,lgp2
lia.,liaoning
liab.,liability
liabil.,liability
lib.,library
liban.,libanaise
libanais.,libanaise
liber.,liberal
liberat.,liberation
libert.,liberty
libr.,library
librarian.,librarianship
lic.,lick
licen.,licenciatura
lich.,lichenology
lie.,liege
lieb.,liebig
liec.,liechtenstein
liet.,lietuvos
life-organ.,life-organic
life.,lifelong
lifesci.,lifesciences
lig.,light
light.,lighting
lik.,likoff
lila.,lilavati
lille.,lille1
lim.,limited
limb.,limburg
limburg.,limburgs
lime.,limerick
limi.,limited
limit.,limited
limn.,limnology
limno.,limnology
limnol.,limnology
limnolog.,limnology
lin.,lincoln
linc.,lincoln
lincoln.,lincolnshire
line.,lineberger
linea.,linear
ling.,linguistics
linguist.,linguistics
link.,linkoping
linköping.,linköpings
linn.,linnaeus
lip.,lipid
lipi.,lipid
lipid.,lipids
lipopro.,lipoprotein
lipoprot.,lipoprotein
liq.,liquid
liqu.,liquid
liquide.,liquides
lis.,lisboa
lisa.,lisandro
list.,lister
lit.,literature
liter.,literature
litera.,literature
literar.,literary
literat.,literature
literatur.,literature
literature.,literatures
lith.,lithuanian
litho.,lithospheric
lithogr.,lithography
lithos.,lithospheric
lithosph.,lithospheric
lithuan.,lithuanian
lithuania.,lithuanian
liti.,litis
litig.,litigation
litt.,little
liu.,liuzhou
liv.,liverpool
live.,liverpool
liver.,liverpool
lives.,livestock
livest.,livestock
living.,livingston
livingston.,livingstone
liè.,liège
ljub.,ljubljana
lleng.,llenguatges
llo.,llobregat
llu.,llull
lmd.,lmdc
lmt.,lmtg
lnst.,lnstitute
lnstitut.,lnstitute
lob.,lobachevsky
loc.,local
local.,locale
locat.,location
loco.,locomotor
locom.,locomotor
locomot.,locomotor
lod.,lodz
lodz.,lodzi
loe.,loess
loew.,loewenstein
log.,logistics
logic.,logica
logiq.,logique
logist.,logistics
logop.,logopedics
logoped.,logopedics
loj.,loja
lok.,loker
lom.,lomonosov
loma.,lomas
lomb.,lombardi
lomba.,lombardi
lomon.,lomonosov
lomonosov.,lomonosova
lon.,london
lond.,london
long-t.,long-term
long.,longevity
longev.,longevity
longit.,longitudinal
longitud.,longitudinal
longz.,longziekten
lor.,lorraine
lora.,lorand
lore.,lorestan
lorenz.,lorenzo
los.,loss
lot.,lothian
lou.,louisiana
loughb.,loughborough
louis-p.,louis-pasteur
louis.,louisiana
lous.,lousiana
louvain-la-n.,louvain-la-neuve
low-d.,low-dimensional
low-dim.,low-dimensional
low-dimension.,low-dimensional
low-t.,low-temperature
low-temp.,low-temperature
low.,lowell
lpm.,lpmc
lpn.,lpnhe
lps.,lpsc
lpt.,lpthe
lptp.,lptpm
lri.,lrit
ls2.,ls2n
lsi.,lsis
ltc.,ltci
ltd.,ltd.
lth.,lthe
ltp.,ltpcm
lts.,ltsi
lub.,lublin
luba.,lubar
lubelsk.,lubelska
lublin.,lublinie
lubr.,lubrication
lubric.,lubrication
lubricat.,lubrication
luc.,lucent
luca.,lucas
luch.,lucha
lucia.,lucian
luck.,lucknow
lud.,ludwig
ludw.,ludwig
ludwig-m.,ludwig-maximilians
ludwig-max.,ludwig-maximilians
ludwig-maximil.,ludwig-maximilians
ludwig-maximilian-u.,ludwig-maximilian-university
ludwig-maximilian-univ.,ludwig-maximilian-university
ludwig-maximilians-u.,ludwig-maximilians-university
ludwig-maximilians-uni.,ludwig-maximilians-university
ludwig-maximilians-univ.,ludwig-maximilians-university
ludwig-maximilians-unive.,ludwig-maximilians-university
ludwig-maximilians-univer.,ludwig-maximilians-university
ludwig-maximilians-univers.,ludwig-maximilians-university
luft-u.,luft-und
lui.,luis
luis.,luiss
luke's-r.,luke's-roosevelt
luke's/r.,luke's/roosevelt
lumin.,luminy
luna.,lunar
lund.,lundbeck
lung.,lunghwa
lungen.,lungenklinik
lungenk.,lungenklinik
lungenklin.,lungenklinik
lungenkr.,lungenkrankheiten
lungenkrank.,lungenkrankheiten
lungenkrankh.,lungenkrankheiten
lupu.,lupus
lut.,luther
luth.,luther
luther.,lutheran
luz.,luzhou
luzern.,luzerner
luzh.,luzhou
lymph.,lymphoma
lymphat.,lymphatic
lymphol.,lymphology
lyon-s.,lyon-sud
lyon.,lyon1
läk.,läkemedel
län.,länssjukhuset
länssjukhus.,länssjukhuset
lég.,légale
léon.,léonard
l’a.,l’aquila
l’e.,l’environnement
l’i.,l’institut
l’inst.,l’institut
m'h.,m'hamed
m's.,m'sik
maartensklin.,maartenskliniek
maas.,maastricht
maat.,maatschappij
maatsch.,maatschappij
maatschap.,maatschappij
maatschapp.,maatschappij
mac.,macromolecular
macau.,macaulay
macch.,macchi
macedonia.,macedonian
mach.,machinery
machin.,machinery
machine-build.,machine-building
machine.,machinery
mack.,mackay
macro.,macromolecular
macroecol.,macroecology
macroecon.,macroeconomic
macrom.,macromolecular
macromo.,macromolecular
macromol.,macromolecular
macromole.,macromolecular
macromolec.,macromolecular
macromolecul.,macromolecular
macromoléc.,macromolécules
macromoléculaire.,macromoléculaires
macul.,macula
mad.,madrid
mada.,madani
made.,madeira
mader.,madero
madi.,madison
madr.,madrid
madri.,madrid
madura.,madurai
maf.,maff
mag.,magnetic
maga.,magallanes
magd.,magdeburg
magee-w.,magee-womens
magg.,maggiore
maggi.,maggiore
magil.,magill
magist.,magister
magm.,magmas
magn.,magnetic
magnes.,magnesium
magnet.,magnetic
magneti.,magnetic
magnetic.,magnetics
magnetism.,magnetismo
magnitog.,magnitogorsk
magno.,magnolia
magnét.,magnétique
magnétique.,magnétiques
magy.,magyar
mah.,mahidol
maha.,mahatma
mahavidyal.,mahavidyalaya
mahe.,mahendra
mai.,mainz
mail.,mailman
maimon.,maimonides
main.,mainz
maint.,maintenance
mainten.,maintenance
maison-b.,maison-blanche
maisonneuve-r.,maisonneuve-rosemont
maj.,major
mak.,makerere
makr.,makromolekulare
makro.,makromolekulare
